n,fib,runtime
1,1,1.58603949012733e-06
2,1,2.60933085431813e-06
3,2,2.57559362017703e-06
4,3,1.12382547578304e-06
5,5,2.55204275002445e-06
6,8,2.43192253134415e-06
7,13,1.1708463063707e-06
8,21,2.45040256498727e-06
9,34,2.23973018145567e-06
10,55,1.01920412772549e-06
11,89,1.1285275588418e-06
12,144,1.07918406866755e-06
13,233,1.02390621078426e-06
14,377,2.17104843963285e-06
15,610,1.20846297084082e-06
16,987,2.39126645732928e-06
17,1597,2.55019474666014e-06
18,2584,2.57155766555159e-06
19,4181,2.54340279076589e-06
20,6765,2.70333446034644e-06
21,10946,2.5956904153679e-06
22,17711,2.64998910245461e-06
23,28657,2.23449699946959e-06
24,46368,9.08764558416784e-07
25,75025,8.4287601302177e-07
26,121393,9.45052624479644e-07
27,196418,1.025692771286e-06
28,317811,9.00700543736149e-07
29,514229,1.01332652390204e-06
30,832040,1.06298883918394e-06
31,1346269,9.00700543736149e-07
32,2178309,1.12145294561855e-06
33,3524578,1.14060498048505e-06
34,5702887,9.89404705223139e-07
35,9227465,1.05564527143093e-06
