n,fib,runtime
1,1,1.95370652107403e-06
2,1,1.29807588644142e-06
3,2,2.12700197623262e-06
4,3,2.58985918993356e-06
5,5,3.46492810215596e-06
6,8,2.01419576939518e-06
7,13,2.43007452797984e-06
8,21,7.79899282451297e-06
9,34,8.3128729176849e-06
10,55,7.27012361228846e-06
11,89,1.89612552458014e-05
12,144,2.80033343324062e-05
13,233,3.54826417995226e-05
14,377,6.9193346151317e-05
15,610,8.01511085000548e-05
16,987,0.000175059513601945
17,1597,0.000281888026164534
18,2584,0.000449945599955364
19,4181,0.000720624796410089
20,6765,0.0011699954215347
21,10946,0.00191912424133271
22,17711,0.00291891993347277
23,28657,0.00454763921857577
24,46368,0.00438517754681235
25,75025,0.00716671829064065
26,121393,0.011172054910404
27,196418,0.0189152407509668
28,317811,0.0298990446351135
29,514229,0.0477484951782525
30,832040,0.0806149836840892
31,1346269,0.131091743049635
32,2178309,0.211436834614839
33,3524578,0.343949763856217
34,5702887,0.557405118486251
35,9227465,0.903001709744993
